"","OR","po.","p1.","p.o","p.1","f00","f01","f10","f11","true r","r","true D'","D'","true Q","Q","true Y","Y","true HS","HS"
"31",50,0.662251655629139,0.337748344370861,0.337748344370861,0.662251655629139,0.33112582781457,0.33112582781457,0.00662251655629139,0.33112582781457,0.480392156862745,94.5,0.941945405613226,67.7,0.96078431372549,86,0.752201313801409,86.1,0.820773136324617,36.5
"32",50,0.5,0.5,0.5,0.5,0.438050328450352,0.0619496715496477,0.0619496715496477,0.438050328450352,0.752201313801409,94.1,0.752201313801409,89.8,0.96078431372549,91.9,0.752201313801409,94.3,0.75220131380141,90.6
"33",50,0.736197782161159,0.263802217838841,0.373271483587224,0.626728516412776,0.36809889108058,0.36809889108058,0.00517259250664394,0.258629625332197,0.437703729988785,95.2,0.947470289053911,93.7,0.960784313725491,94.2,0.752201313801409,94.4,0.802796913865221,36.5
"34",49.9999999999999,0.6,0.4,0.4,0.6,0.38606607081024,0.21393392918976,0.0139339291897596,0.386066070810241,0.608608628376002,95.1,0.912912942564002,73.5,0.96078431372549,75,0.752201313801409,73.5,0.814272814507733,64.5
"35",50.0000000000007,0.6,0.4,0.6,0.4,0.53947867979117,0.0605213202088301,0.0605213202088301,0.33947867979117,0.747827832463208,93.7,0.747827832463208,88.9,0.960784313725491,89.2,0.752201313801411,94.9,0.714758531047681,75.6
"36",49.9999999999999,0.1,0.9,0.2,0.8,0.0876976370469775,0.0123023629530225,0.112302362953023,0.787697637046977,0.564146975391479,95,0.846220463087218,74.3,0.96078431372549,78.5,0.752201313801409,80.8,0.0941363001432815,5.3
"37",100,0.664451827242525,0.335548172757475,0.335548172757475,0.664451827242525,0.332225913621262,0.332225913621262,0.00332225913621263,0.332225913621262,0.49009900990099,95.2,0.970493088912851,47,0.98019801980198,95.7,0.818181818181818,84,0.90418941198214,56.9
"38",100,0.5,0.5,0.5,0.5,0.454545454545455,0.0454545454545455,0.0454545454545455,0.454545454545455,0.818181818181818,92.8,0.818181818181818,87.5,0.98019801980198,87.7,0.818181818181818,92.7,0.818181818181818,90.5
"39",100,0.738106744869968,0.261893255130032,0.371646374961024,0.628353625038976,0.369053372434984,0.369053372434984,0.00259300252603992,0.259300252603992,0.445901112571336,93.3,0.973359110256226,22.8,0.98019801980198,80,0.818181818181818,61,0.895395955773645,39.1
"40",99.9999999999997,0.6,0.4,0.4,0.6,0.392570416912525,0.207429583087475,0.00742958308747521,0.392570416912525,0.635710070468853,95.1,0.95356510570328,53.6,0.98019801980198,79.5,0.818181818181818,82.5,0.892882825269167,44.5
"41",100.000000000001,0.6,0.4,0.6,0.4,0.555555555555556,0.0444444444444442,0.0444444444444442,0.355555555555556,0.814814814814816,92.8,0.814814814814816,86.5,0.98019801980198,87.8,0.818181818181819,93.7,0.791168310742634,79.2
"42",99.9999999999998,0.1,0.9,0.2,0.8,0.0930937546967584,0.00690624530324165,0.106906245303242,0.793093754696758,0.609114622472986,95,0.913671933709479,81.1,0.98019801980198,88.5,0.818181818181818,91.1,0.281243358748671,4.3
"43",1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,94.8,0,95.3,0,94.5,0,94.8,0,96
"44",1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,94.8,0,95.3,0,94.5,0,94.8,0,96
"45",1,0.587333879727506,0.412666120272494,0.5,0.5,0.293666939863753,0.293666939863753,0.206333060136247,0.206333060136247,2.25511293307845e-16,94.6,2.69036630361622e-16,94.7,4.58064211256537e-16,94.3,0,94.6,0,98.6
"46",1,0.6,0.4,0.4,0.6,0.24,0.36,0.16,0.24,0,94.3,0,94.5,0,93.8,-5.78241158658936e-17,94.2,-3.10179424794511e-21,100
"47",1,0.6,0.4,0.6,0.4,0.36,0.24,0.24,0.16,0,93.8,0,94,0,93.3,5.78241158658936e-17,93.9,0,99.4
"48",1,0.1,0.9,0.2,0.8,0.02,0.08,0.18,0.72,-2.89120579329468e-17,94.6,-1.73472347597681e-16,94.6,-1.20466908053945e-16,94.7,-5.78241158658936e-17,95.8,0,100
"49",2,0.571428571428571,0.428571428571429,0.428571428571429,0.571428571428571,0.285714285714286,0.285714285714286,0.142857142857143,0.285714285714286,0.166666666666667,94.2,0.222222222222222,94.4,0.333333333333333,94,0.17157287525381,94.3,0.138734684854279,82.9
"50",2,0.5,0.5,0.5,0.5,0.292893218813452,0.207106781186547,0.207106781186547,0.292893218813452,0.17157287525381,94.8,0.17157287525381,94.6,0.333333333333334,94.2,0.17157287525381,94.8,0.17157287525381,94.4
"51",2,0.654897368819341,0.345102631180659,0.442482894803224,0.557517105196776,0.327448684409671,0.327448684409671,0.115034210393553,0.230068420787106,0.159526253575339,94.2,0.246675211068735,94.1,0.333333333333333,93.6,0.17157287525381,94.2,0.090640012040323,55.8
"52",2,0.6,0.4,0.4,0.6,0.278889744907202,0.321110255092798,0.121110255092798,0.278889744907202,0.162040603780009,94.9,0.243060905670013,94.8,0.333333333333333,94.2,0.17157287525381,95,0.110223411045934,67.8
"53",2,0.6,0.4,0.6,0.4,0.4,0.2,0.2,0.2,0.166666666666666,94.3,0.166666666666666,94.7,0.333333333333333,93.6,0.17157287525381,94.3,0.109504629084079,66.9
"54",2,0.1,0.9,0.2,0.8,0.0315341561573509,0.0684658438426491,0.168465843842649,0.731534156157351,0.0961179679779241,94.4,0.144176951966886,97.9,0.333333333333333,93.7,0.171572875253809,95.3,4.81661278198372e-19,48.2
"55",5,0.625,0.375,0.375,0.625,0.3125,0.3125,0.0625,0.3125,0.333333333333333,95.4,0.555555555555556,94.6,0.666666666666667,95.1,0.381966011250105,95.2,0.281525548998107,44.4
"56",5,0.5,0.5,0.5,0.5,0.345491502812526,0.154508497187474,0.154508497187474,0.345491502812526,0.381966011250105,93.8,0.381966011250105,94.5,0.666666666666667,93.8,0.381966011250105,94,0.381966011250105,92.7
"57",5,0.703449847472629,0.296550152527371,0.401149949157543,0.598850050842457,0.351724923736314,0.351724923736314,0.0494250254212286,0.247125127106143,0.310621830677359,93.8,0.584527763205045,94.1,0.666666666666667,93.8,0.381966011250105,94.1,0.212709173112308,23.2
"58",4.99999999999999,0.6,0.4,0.4,0.6,0.323960135530193,0.276039864469807,0.0760398644698074,0.323960135530192,0.349833898042469,95.4,0.524750847063704,94.2,0.666666666666667,94,0.381966011250105,95,0.318587783015882,61.4
"59",4.99999999999999,0.6,0.4,0.6,0.4,0.45,0.15,0.15,0.25,0.375,93.5,0.375,93.5,0.666666666666666,93.8,0.381966011250105,93.1,0.304973037967785,50.5
"60",5,0.1,0.9,0.2,0.8,0.05,0.05,0.15,0.75,0.25,92.3,0.375,92.7,0.666666666666666,93.6,0.381966011250105,93.3,9.94408923407856e-09,0.1
"61",10,0.645161290322581,0.354838709677419,0.354838709677419,0.645161290322581,0.32258064516129,0.32258064516129,0.032258064516129,0.32258064516129,0.409090909090909,94.6,0.743801652892562,93,0.818181818181818,93.6,0.519493853295916,93.8,0.440679593491908,48.1
"62",10,0.5,0.5,0.5,0.5,0.379873463323979,0.120126536676021,0.120126536676021,0.379873463323979,0.519493853295916,94.3,0.519493853295916,94.9,0.818181818181818,93.5,0.519493853295916,94.3,0.519493853295916,93.5
"63",10,0.721274348989881,0.278725651010119,0.385975870041315,0.614024129958685,0.360637174494941,0.360637174494941,0.0253386955463744,0.253386955463744,0.376778180873961,95,0.764469496760614,93.5,0.818181818181819,93.5,0.519493853295916,95,0.379413126250017,37.6
"64",9.99999999999998,0.6,0.4,0.4,0.6,0.350676789837936,0.249323210162064,0.0493232101620643,0.350676789837936,0.461153290991399,94.5,0.691729936487098,93.9,0.818181818181818,93.9,0.519493853295915,94.6,0.489958938220723,68.6
"65",9.99999999999997,0.6,0.4,0.6,0.4,0.483064725597111,0.116935274402889,0.116935274402889,0.283064725597111,0.512769689987962,96,0.512769689987962,95.2,0.818181818181818,94.9,0.519493853295915,95.9,0.451006542868376,54.1
"66",9.99999999999999,0.1,0.9,0.2,0.8,0.0640251199682556,0.0359748800317444,0.135974880031744,0.764025119968256,0.366875999735463,95.6,0.550313999603195,94.9,0.818181818181818,95.3,0.519493853295915,95.9,4.63835862493664e-05,0
"67",20,0.655737704918033,0.344262295081967,0.344262295081967,0.655737704918033,0.327868852459016,0.327868852459016,0.0163934426229508,0.327868852459016,0.452380952380952,95.6,0.861678004535147,92.4,0.904761904761905,92.7,0.634512004736886,95,0.627091660877676,52.1
"68",20,0.5,0.5,0.5,0.5,0.408628001184222,0.0913719988157784,0.0913719988157784,0.408628001184222,0.634512004736886,94.1,0.634512004736886,93.8,0.904761904761905,93,0.634512004736886,94.1,0.634512004736886,93.2
"69",20,0.730529683610175,0.269470316389825,0.378096761633174,0.621903238366826,0.365264841805087,0.365264841805087,0.0128319198280869,0.256638396561738,0.413919438632922,95.5,0.874055923109843,93,0.904761904761904,92.5,0.634512004736886,95.8,0.585875126788594,47.2
"70",20,0.6,0.4,0.4,0.6,0.370185295008512,0.229814704991488,0.0298147049914876,0.370185295008512,0.542438729202135,94.5,0.813658093803202,94.3,0.904761904761905,94.2,0.634512004736886,95,0.650483344211782,68.4
"71",19.9999999999998,0.6,0.4,0.6,0.4,0.510885725265993,0.0891142747340072,0.0891142747340072,0.310885725265993,0.628690521941637,95,0.628690521941637,94.9,0.904761904761904,94.3,0.634512004736885,95.4,0.579656924091809,57.5
"72",20,0.1,0.9,0.2,0.8,0.076142808891188,0.023857191108812,0.123857191108812,0.776142808891188,0.4678567407599,96.6,0.70178511113985,94.2,0.904761904761905,95,0.634512004736886,95,0.00460608750703576,0
"73",50,0.662251655629139,0.337748344370861,0.337748344370861,0.662251655629139,0.33112582781457,0.33112582781457,0.00662251655629139,0.33112582781457,0.480392156862745,95.9,0.941945405613226,93.2,0.96078431372549,91.7,0.752201313801409,93.5,0.820773136324617,58.4
"74",50,0.5,0.5,0.5,0.5,0.438050328450352,0.0619496715496477,0.0619496715496477,0.438050328450352,0.752201313801409,93.9,0.752201313801409,94.1,0.96078431372549,92.6,0.752201313801409,93.7,0.75220131380141,93.5
"75",50,0.736197782161159,0.263802217838841,0.373271483587224,0.626728516412776,0.36809889108058,0.36809889108058,0.00517259250664394,0.258629625332197,0.437703729988785,94.6,0.947470289053911,90.9,0.960784313725491,90.7,0.752201313801409,88.2,0.802796913865221,55.8
"76",49.9999999999999,0.6,0.4,0.4,0.6,0.38606607081024,0.21393392918976,0.0139339291897596,0.386066070810241,0.608608628376002,95,0.912912942564002,91.8,0.96078431372549,91.8,0.752201313801409,95.5,0.814272814507733,59.5
"77",50.0000000000007,0.6,0.4,0.6,0.4,0.53947867979117,0.0605213202088301,0.0605213202088301,0.33947867979117,0.747827832463208,95,0.747827832463208,95,0.960784313725491,94.7,0.752201313801411,95.4,0.714758531047681,64.1
"78",49.9999999999999,0.1,0.9,0.2,0.8,0.0876976370469775,0.0123023629530225,0.112302362953023,0.787697637046977,0.564146975391479,95.6,0.846220463087218,93.5,0.96078431372549,93.3,0.752201313801409,95.2,0.0941363001432815,0.8
"79",100,0.664451827242525,0.335548172757475,0.335548172757475,0.664451827242525,0.332225913621262,0.332225913621262,0.00332225913621263,0.332225913621262,0.49009900990099,95.1,0.970493088912851,81.3,0.98019801980198,81.5,0.818181818181818,79.4,0.90418941198214,71.5
"80",100,0.5,0.5,0.5,0.5,0.454545454545455,0.0454545454545455,0.0454545454545455,0.454545454545455,0.818181818181818,93.8,0.818181818181818,92.4,0.98019801980198,91.8,0.818181818181818,93.6,0.818181818181818,93.1
"81",100,0.738106744869968,0.261893255130032,0.371646374961024,0.628353625038976,0.369053372434984,0.369053372434984,0.00259300252603992,0.259300252603992,0.445901112571336,94.9,0.973359110256226,72.1,0.98019801980198,72.2,0.818181818181818,69.2,0.895395955773645,62.2
