"","OR","po.","p1.","p.o","p.1","f00","f01","f10","f11","true r","r","true D'","D'","true Q","Q","true Y","Y","true HS","HS"
"1",1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,95.2,0,96.4,0,95.4,0,95.4,0,97.2
"2",1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,95.2,0,96.4,0,95.4,0,95.4,0,97.2
"3",1,0.587333879727506,0.412666120272494,0.5,0.5,0.293666939863753,0.293666939863753,0.206333060136247,0.206333060136247,2.25511293307845e-16,94.2,2.69036630361622e-16,95.3,4.58064211256537e-16,94.3,0,94.3,0,97.7
"4",1,0.6,0.4,0.4,0.6,0.24,0.36,0.16,0.24,0,95.1,0,96.3,0,95.2,-5.78241158658936e-17,95.2,-3.10179424794511e-21,99.5
"5",1,0.6,0.4,0.6,0.4,0.36,0.24,0.24,0.16,0,95.3,0,96.7,0,95.4,5.78241158658936e-17,95.4,0,99.4
"6",1,0.1,0.9,0.2,0.8,0.02,0.08,0.18,0.72,-2.89120579329468e-17,87.2,-1.73472347597681e-16,86.1,-1.20466908053945e-16,85.6,-5.78241158658936e-17,85.6,0,100
"7",2,0.571428571428571,0.428571428571429,0.428571428571429,0.571428571428571,0.285714285714286,0.285714285714286,0.142857142857143,0.285714285714286,0.166666666666667,94.7,0.222222222222222,94.3,0.333333333333333,95.2,0.17157287525381,95.2,0.138734684854279,89.7
"8",2,0.5,0.5,0.5,0.5,0.292893218813452,0.207106781186547,0.207106781186547,0.292893218813452,0.17157287525381,95.1,0.17157287525381,96.3,0.333333333333334,95.2,0.17157287525381,95.2,0.17157287525381,93.2
"9",2,0.654897368819341,0.345102631180659,0.442482894803224,0.557517105196776,0.327448684409671,0.327448684409671,0.115034210393553,0.230068420787106,0.159526253575339,95.1,0.246675211068735,93.6,0.333333333333333,95.6,0.17157287525381,95.6,0.090640012040323,85.6
"10",2,0.6,0.4,0.4,0.6,0.278889744907202,0.321110255092798,0.121110255092798,0.278889744907202,0.162040603780009,95.6,0.243060905670013,93.6,0.333333333333333,95.8,0.17157287525381,95.8,0.110223411045934,86.3
"11",2,0.6,0.4,0.6,0.4,0.4,0.2,0.2,0.2,0.166666666666666,95.9,0.166666666666666,97.8,0.333333333333333,96.1,0.17157287525381,96.1,0.109504629084079,84.4
"12",2,0.1,0.9,0.2,0.8,0.0315341561573509,0.0684658438426491,0.168465843842649,0.731534156157351,0.0961179679779241,93.2,0.144176951966886,96.1,0.333333333333333,94.8,0.171572875253809,94.8,4.81661278198372e-19,73.1
